internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
171061,Vitrea subcarinata,"Hyalina subcarinata Clessin, 1877",Hyalina,subcarinata,"Clessin, 1877",,
171063,Albinaria idaea,"Clausilia idaea L. Pfeiffer, 1850",Clausilia,idaea,"L. Pfeiffer, 1850",,
171127,Albinaria turrita,"Clausilia rotundata Schmidt, 1868",Clausilia,rotundata,"Schmidt, 1868",,
171167,Hypnophila cyclothyra,"Cochlicopa cyclothyra O. Boettger, 1885",Cochlicopa,cyclothyra,"O. Boettger, 1885",,
171170,Alopia straminicollis,"Clausilia straminicollis Charpentier, 1852",Clausilia,straminicollis,"Charpentier, 1852",,
171182,Albinaria amalthea,"Clausilia amalthea Westerlund, 1878",Clausilia,amalthea,"Westerlund, 1878",,
171182,Albinaria amalthea,"Clausilia pygmaea Boettger, 1878",Clausilia,pygmaea,"Boettger, 1878",,
171188,Oxychilus superfluus,"Helix superfluus L. Pfeiffer, 1849",Helix,superfluus,"L. Pfeiffer, 1849",,
171188,Oxychilus superfluus,"Hyalinia muelleri Maltzan, 1887",Hyalinia,muelleri,"Maltzan, 1887",,
171188,Oxychilus superfluus,"Hyalinia necessaria Westerlund, 1886",Hyalinia,necessaria,"Westerlund, 1886",,
171188,Oxychilus superfluus,"Zonites cretensis Blanc, 1879",Zonites,cretensis,"Blanc, 1879",,
171188,Oxychilus superfluus,"Zonites cydoniensis Blanc, 1879",Zonites,cydoniensis,"Blanc, 1879",,
171197,Albinaria moreletiana,"Clausilia moreletiana O. Boettger, 1878",Clausilia,moreletiana,"O. Boettger, 1878",,
171200,Cochlodina liburnica,"Clausilia minor Westerlund, 1878",Clausilia,minor,"Westerlund, 1878",,
171200,Cochlodina liburnica,"Clausilia polita A. Schmidt, 1868",Clausilia,polita,"A. Schmidt, 1868",,
171212,Albinaria brevicollis,"Clausilia brevicollis L. Pfeiffer, 1850",Clausilia,brevicollis,"L. Pfeiffer, 1850",,
171229,Albinaria subaii,"Sericata subaii H. Nordsieck, 1984",Sericata,subaii,"H. Nordsieck, 1984",,
171247,Albinaria corrugata,"Bulimus corrugata Bruguiere, 1792",Bulimus,corrugata,"Bruguiere, 1792",,
