assessmentId,internalTaxonId,scientificName,type,text,full,value,order
74511281,16084412,Sphingonotus fuerteventurae,RedListContributors,"Jakobs, D. & Kranz, M.","Jakobs, D. & Kranz, M.","David Jakobs (Trier University)|Marco Kranz (Trier University, Germany)","16899069,79849881"
74511503,16084509,Sphingonotus guanchus,RedListAssessors,"Hochkirch, A.","Hochkirch, A.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)",13179435
74511503,16084509,Sphingonotus guanchus,RedListEvaluators,"Odé, B. & García, M.","Odé, B. & García, M.",Baudewijn Odé (IUCN SSC Grasshopper Specialist Group)|Mariana García (IUCN Global Species Programme),"13179417,56211724"
74511503,16084509,Sphingonotus guanchus,RedListContributors,"Jakobs, D. & Kranz, M.","Jakobs, D. & Kranz, M.","David Jakobs (Trier University)|Marco Kranz (Trier University, Germany)","16899069,79849881"
74512085,16084573,Sphingonotus pachecoi,RedListAssessors,"Hochkirch, A.","Hochkirch, A.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)",13179435
74512085,16084573,Sphingonotus pachecoi,RedListEvaluators,"Odé, B. & García, M.","Odé, B. & García, M.",Baudewijn Odé (IUCN SSC Grasshopper Specialist Group)|Mariana García (IUCN Global Species Programme),"13179417,56211724"
74512085,16084573,Sphingonotus pachecoi,RedListContributors,"Jakobs, D. & Kranz, M.","Jakobs, D. & Kranz, M.","David Jakobs (Trier University)|Marco Kranz (Trier University, Germany)","16899069,79849881"
74512278,16084409,Sphingonotus picteti,RedListAssessors,"Hochkirch, A.","Hochkirch, A.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)",13179435
74512278,16084409,Sphingonotus picteti,RedListEvaluators,"Odé, B. & García, M.","Odé, B. & García, M.",Baudewijn Odé (IUCN SSC Grasshopper Specialist Group)|Mariana García (IUCN Global Species Programme),"13179417,56211724"
74512278,16084409,Sphingonotus picteti,RedListContributors,"Jakobs, D.","Jakobs, D.",David Jakobs (Trier University),16899069
74512956,16084496,Sphingonotus rugosus,RedListAssessors,"Hochkirch, A.","Hochkirch, A.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)",13179435
74512956,16084496,Sphingonotus rugosus,RedListEvaluators,"Odé, B. & García, M.","Odé, B. & García, M.",Baudewijn Odé (IUCN SSC Grasshopper Specialist Group)|Mariana García (IUCN Global Species Programme),"13179417,56211724"
74512956,16084496,Sphingonotus rugosus,RedListContributors,"Jakobs, D. & Kranz, M.","Jakobs, D. & Kranz, M.","David Jakobs (Trier University)|Marco Kranz (Trier University, Germany)","16899069,79849881"
74513545,16084531,Sphingonotus sublaevis,RedListAssessors,"Hochkirch, A.","Hochkirch, A.","Axel Hochkirch (IUCN SSC Grasshopper Specialist Group / Trier University, Germany)",13179435
