assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
45463288,45463281,Eupholidoptera spinigera,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Eupholidoptera,spinigera,,,,"(Ramme, 1930)",Endangered,"B1ab(iii,v)+2ab(iii,v)",3.1,Unknown,"Global, Europe & Mediterranean"
45463334,45463331,Eupholidoptera annamariae,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Eupholidoptera,annamariae,,,,"Nadig, 1985",Vulnerable,D2,3.1,Unknown,"Global, Europe & Mediterranean"
45463431,45463340,Eupholidoptera astyla,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Eupholidoptera,astyla,,,,"(Ramme, 1927)",Endangered,"B1ab(iii,v)",3.1,Decreasing,"Global, Europe & Mediterranean"
45463466,45463463,Eupholidoptera feri,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Eupholidoptera,feri,,,,"Koçak &amp; Kemal, 2010",Critically Endangered,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,"Global, Europe & Mediterranean"
45463477,45463473,Eupholidoptera giuliae,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Eupholidoptera,giuliae,,,,"Massa, 1999",Vulnerable,D2,3.1,Unknown,"Global, Europe & Mediterranean"
45463496,45463493,Eupholidoptera latens,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Eupholidoptera,latens,,,,"Willemse &amp; Kruseman, 1976",Vulnerable,D2,3.1,Unknown,"Global, Europe & Mediterranean"
45463505,45463502,Eupholidoptera mariannae,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Eupholidoptera,mariannae,,,,"Willemse &amp; Heller, 2001",Vulnerable,D2,3.1,Unknown,"Global, Europe & Mediterranean"
45466681,45466678,Poecilimon pindos,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Poecilimon,pindos,,,,"Willemse, 1982",Endangered,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,"Global, Europe & Mediterranean"
45811388,157538,Pseudosphegesthes bergeri,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,CERAMBYCIDAE,Pseudosphegesthes,bergeri,,,,"Slama, 1982",Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,"Global, Europe & Mediterranean"
45812940,157493,Purpuricenus graecus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,CERAMBYCIDAE,Purpuricenus,graecus,,,,"Slama, 1993",Least Concern,,3.1,Unknown,"Global, Europe & Mediterranean"
45823371,157798,Stenopterus creticus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,CERAMBYCIDAE,Stenopterus,creticus,,,,"Sama, 1995",Near Threatened,,3.1,Unknown,"Global, Europe & Mediterranean"
45826874,157771,Trichoferus bergeri,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,CERAMBYCIDAE,Trichoferus,bergeri,,,,"Holzschuh, 1982",Critically Endangered,"B1ab(iii,iv)",3.1,Unknown,"Global, Europe & Mediterranean"
47350001,47262019,Ampedus cretensis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ELATERIDAE,Ampedus,cretensis,,,,"Platia, 2004",Data Deficient,,3.1,Unknown,Global & Mediterranean
47350709,47262622,Ampedus vignai,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ELATERIDAE,Ampedus,vignai,,,,"Guglielmi &amp; Platia, 1985",Data Deficient,,3.1,Unknown,Global & Mediterranean
47353318,47263254,Elater asmodaius,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ELATERIDAE,Elater,asmodaius,,,,"Wurst, 1994",Data Deficient,,3.1,Unknown,Global & Mediterranean
47353453,47265114,Podeonius subcyaneus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ELATERIDAE,Podeonius,subcyaneus,,,,"(Kiesenwetter, 1858)",Data Deficient,,3.1,Unknown,Global & Mediterranean
47708524,17182027,Poecilimon ikariensis,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Poecilimon,ikariensis,,,,"Willemse, 1982",Vulnerable,D2,3.1,Unknown,"Global, Europe & Mediterranean"
47708697,17181950,Poecilimon deplanatus,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Poecilimon,deplanatus,,,,"Brunner von Wattenwyl, 1891",Least Concern,,3.1,Unknown,"Global, Europe & Mediterranean"
47726171,17182043,Poecilimon klausgerhardi,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Poecilimon,klausgerhardi,,,,"Fontana, 2004",Near Threatened,,3.1,Unknown,"Global, Europe & Mediterranean"
