sci_name	gbifid.ids	gbifid.class	gbifid.match	gbifid.multiple_matches	gbifid.pattern_match	gbifid.uri
Oligoclada mortis	9092629	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/9092629
Oligoclada waikinimae	5052192	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/5052192
Orthemis ambirufa	1427835	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1427835
Orthemis garrisoni	11372826	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/11372826
Orthemis levis	1427838	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1427838
Perithemis capixaba	1428082	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1428082
Planiplax phoenicura	1428900	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1428900
Scapanea frontalis	1427963	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1427963
Tauriphila xiphea	1428192	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1428192
Uracis turrialba	1427701	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1427701
Teinopodagrion lepidum	1424460	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1424460
Philogenia augusti	1424565	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1424565
Philogenia expansa	1424554	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1424554
Philogenia terraba	1424559	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1424559
Philogenia zeteki	1424571	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1424571
Chalcopteryx machadoi	1427426	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1427426
Chalcopteryx seabrai	1427431	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1427431
Neurobasis daviesi	1427236	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1427236
Luzonargiolestes baltazarae	10244711	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10244711
Neurobasis luzoniensis	1427229	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1427229
Neurobasis subpicta	6242768	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/6242768
Vestalis melania	1427199	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1427199
Mortonagrion astamii	9580457	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/9580457
Euphaea cora	1427527	gbifid	found	TRUE	TRUE	https://www.gbif.org/species/1427527
Euphaea refulgens	1427533	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1427533
Leptogomphus palawanus	1425480	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425480
Leptogomphus semperi	1425489	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1425489
Agrionoptera bartola	1429288	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1429288
Diplacina bolivari	1428551	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1428551
Rhinocypha colorata	NA	gbifid	NA due to ask=FALSE & > 1 result	TRUE	FALSE	NA
Rhinocypha sanguinolenta	1426888	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1426888
Rhinocypha turconii	1426914	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1426914
Telosticta paruatia	10936613	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10936613
Chlorogomphus splendidus	1421262	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1421262
Pericnemis bonita	10785516	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10785516
Pericnemis flavicornis	10893943	gbifid	found	TRUE	TRUE	https://www.gbif.org/species/10893943
Pericnemis incallida	10718372	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10718372
Pericnemis lestoides	10600147	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10600147
Pericnemis melansoni	8920474	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/8920474
Pseudagrion buenafei	1422928	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1422928
Pseudagrion evanidum	1422846	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1422846
Stenagrion petermilleri	1422601	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1422601
Procordulia moroensis	1430099	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1430099
Devadatta basilanensis	8445372	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/8445372
Gomphidia kirschii	1426320	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1426320
Heliogomphus olivaceus	1426393	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1426393
Cyrano angustior	1427002	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1427002
Ceriagrion lieftincki	1423268	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1423268
Pandanobasis cantuga	9933551	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/9933551
Pandanobasis curacha	10807423	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10807423
Pandanobasis daku	10816486	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10816486
Pandanobasis mcgregori	10923312	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10923312
Paracercion pendulum	10722194	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10722194
Sangabasis braulitae	9339139	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/9339139
Sangabasis bukid	9311452	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/9311452
Sangabasis bulba	9623719	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/9623719
Sangabasis cahilogi	9383349	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/9383349
Sangabasis carmelae	9241311	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/9241311
Sangabasis circularis	9548315	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/9548315
Sangabasis dentifer	9428302	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/9428302
Sangabasis furcata	9268177	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/9268177
Sangabasis hamis	9577168	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/9577168
Sangabasis janvantoli	9502157	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/9502157
Sangabasis zamboanga	9456588	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/9456588
Teinobasis annamalija	10819427	gbifid	found	TRUE	TRUE	https://www.gbif.org/species/10819427
Teinobasis corolla	1422371	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1422371
Teinobasis filiformis	1422394	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1422394
Teinobasis filum	1422378	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1422378
Teinobasis hamalaineni	1422412	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1422412
Teinobasis nigra	1422395	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1422395
Teinobasis olivacea	1422370	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1422370
Teinobasis ranee	1422392	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1422392
Teinobasis recurva	1422377	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1422377
Teinobasis rubricauda	1422367	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1422367
Teinobasis strigosa	1422410	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1422410
Cyclophaea cyanifrons	1427495	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1427495
Heterophaea barbata	1427493	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1427493
Paragomphus balneorum	5051846	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/5051846
Diplacina guentherpetersi	10779107	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10779107
Diplacina holgerhungeri	10736316	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10736316
Diplacina paragua	10844858	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10844858
Lyriothemis latro	1428380	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1428380
Protorthemis intermedia	1427868	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1427868
Macromia negrito	1429880	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1429880
Rhinagrion reinhardi	6242880	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/6242880
Rhinagrion schneideri	6242879	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/6242879
Asthenocnemis linnaei	6243406	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/6243406
